Datetime,PM10 (ug/m3),Predicted_Cases_Week1,Predicted_Cases_Week2,Predicted_Cases_Week3,Predicted_Cases_Week4,Predicted_Cases_Week8,Predicted_Cases_Week12
2018-05-20,12279.25,12476.64781328035,5312.605786705991,11169.383866738612,10237.55222183563,14530.727199395813,9603.119590081516
2018-05-27,13865.0,14559.380819275471,12476.64781328035,5312.605786705991,11169.383866738612,14230.750590924354,12642.058739203048
2018-06-03,11332.42,11577.273555135233,14559.380819275471,12476.64781328035,5312.605786705991,9320.420328524024,9585.127963121671
2018-06-10,5174.76,5262.923957293031,11577.273555135233,14559.380819275471,12476.64781328035,2433.719578039706,9606.292452632848
2018-06-17,11252.75,11061.847356019778,5262.923957293031,11577.273555135233,14559.380819275471,10237.55222183563,14530.727199395813
2018-06-24,8500.0,8258.36924700211,11061.847356019778,5262.923957293031,11577.273555135233,11169.383866738612,14230.750590924354
2018-07-01,7875.17,7695.870852360078,8258.36924700211,11061.847356019778,5262.923957293031,5312.605786705991,9320.420328524024
2018-07-08,7784.0,7594.445581603099,7695.870852360078,8258.36924700211,11061.847356019778,12476.64781328035,2433.719578039706
2018-07-15,7710.0,7694.332536970978,7594.445581603099,7695.870852360078,8258.36924700211,14559.380819275471,10237.55222183563
2018-07-22,8832.52,8868.446127735884,7694.332536970978,7594.445581603099,7695.870852360078,11577.273555135233,11169.383866738612
2018-07-29,8908.99,9056.721313766888,8868.446127735884,7694.332536970978,7594.445581603099,5262.923957293031,5312.605786705991
2018-08-05,4153.5,3813.50908214267,9056.721313766888,8868.446127735884,7694.332536970978,11061.847356019778,12476.64781328035
2018-08-12,5807.5,5981.7794815422785,3813.50908214267,9056.721313766888,8868.446127735884,8258.36924700211,14559.380819275471
2018-08-19,5424.5,5575.368210350274,5981.7794815422785,3813.50908214267,9056.721313766888,7695.870852360078,11577.273555135233
2018-08-26,7817.75,7729.6353196553155,5575.368210350274,5981.7794815422785,3813.50908214267,7594.445581603099,5262.923957293031
2018-09-02,7857.75,7763.107493096813,7729.6353196553155,5575.368210350274,5981.7794815422785,7694.332536970978,11061.847356019778
2018-09-09,8910.92,9265.82925667979,7763.107493096813,7729.6353196553155,5575.368210350274,8868.446127735884,8258.36924700211
2018-09-16,7851.5,8486.297974325424,9265.82925667979,7763.107493096813,7729.6353196553155,9056.721313766888,7695.870852360078
2018-09-23,246.0,658.7622491647016,8486.297974325424,9265.82925667979,7763.107493096813,3813.50908214267,7594.445581603099
2018-09-30,7355.67,7082.592494922888,658.7622491647016,8486.297974325424,9265.82925667979,5981.7794815422785,7694.332536970978
2018-10-07,5815.25,5120.5376148895775,7082.592494922888,658.7622491647016,8486.297974325424,5575.368210350274,8868.446127735884
2018-10-14,17655.09,17684.49337372549,5120.5376148895775,7082.592494922888,658.7622491647016,7729.6353196553155,9056.721313766888
2018-10-21,11022.25,10968.594240665198,17684.49337372549,5120.5376148895775,7082.592494922888,7763.107493096813,3813.50908214267
2018-10-28,15581.25,15272.237006372634,10968.594240665198,17684.49337372549,5120.5376148895775,9265.82925667979,5981.7794815422785
2018-11-04,7652.75,7740.6165373955355,15272.237006372634,10968.594240665198,17684.49337372549,8486.297974325424,5575.368210350274
2018-11-11,10011.75,10183.242212935544,7740.6165373955355,15272.237006372634,10968.594240665198,658.7622491647016,7729.6353196553155
2018-11-18,12118.75,12572.217456095304,10183.242212935544,7740.6165373955355,15272.237006372634,7082.592494922888,7763.107493096813
2018-11-25,11666.25,11566.711972931656,12572.217456095304,10183.242212935544,7740.6165373955355,5120.5376148895775,9265.82925667979
2018-12-02,13189.0,13567.755231303083,11566.711972931656,12572.217456095304,10183.242212935544,17684.49337372549,8486.297974325424
2018-12-09,13051.08,13170.485862476995,13567.755231303083,11566.711972931656,12572.217456095304,10968.594240665198,658.7622491647016
2018-12-16,17962.17,18371.871937701657,13170.485862476995,13567.755231303083,11566.711972931656,15272.237006372634,7082.592494922888
2018-12-23,11974.0,12316.30408803415,18371.871937701657,13170.485862476995,13567.755231303083,7740.6165373955355,5120.5376148895775
2018-12-30,17268.0,17690.415400430164,12316.30408803415,18371.871937701657,13170.485862476995,10183.242212935544,17684.49337372549
2019-01-06,16390.0,16160.97469350182,17690.415400430164,12316.30408803415,18371.871937701657,12572.217456095304,10968.594240665198
2019-01-13,16051.83,16368.283238653186,16160.97469350182,17690.415400430164,12316.30408803415,11566.711972931656,15272.237006372634
2019-01-20,18986.0,19888.43453496605,16368.283238653186,16160.97469350182,17690.415400430164,13567.755231303083,7740.6165373955355
2019-01-27,11892.75,11647.758627644422,19888.43453496605,16368.283238653186,16160.97469350182,13170.485862476995,10183.242212935544
2019-02-03,10186.75,10182.490931830936,11647.758627644422,19888.43453496605,16368.283238653186,18371.871937701657,12572.217456095304
2019-02-10,12669.41,12495.521545480293,10182.490931830936,11647.758627644422,19888.43453496605,12316.30408803415,11566.711972931656
2019-02-17,10069.5,10173.830420494194,12495.521545480293,10182.490931830936,11647.758627644422,17690.415400430164,13567.755231303083
2019-02-24,10102.25,10141.966675820531,10173.830420494194,12495.521545480293,10182.490931830936,16160.97469350182,13170.485862476995
2019-03-03,9531.0,9291.026339224529,10141.966675820531,10173.830420494194,12495.521545480293,16368.283238653186,18371.871937701657
2019-03-10,11913.25,11785.607566491499,9291.026339224529,10141.966675820531,10173.830420494194,19888.43453496605,12316.30408803415
2019-03-17,14127.5,13691.94924139597,11785.607566491499,9291.026339224529,10141.966675820531,11647.758627644422,17690.415400430164
2019-03-24,9721.0,9976.027694004004,13691.94924139597,11785.607566491499,9291.026339224529,10182.490931830936,16160.97469350182
2019-03-31,12627.5,12549.099542846747,9976.027694004004,13691.94924139597,11785.607566491499,12495.521545480293,16368.283238653186
2019-04-07,8143.0,8106.8512174269945,12549.099542846747,9976.027694004004,13691.94924139597,10173.830420494194,19888.43453496605
2019-04-14,9104.0,9093.916765901195,8106.8512174269945,12549.099542846747,9976.027694004004,10141.966675820531,11647.758627644422
2019-04-21,7769.5,7717.682613725285,9093.916765901195,8106.8512174269945,12549.099542846747,9291.026339224529,10182.490931830936
2019-04-28,9185.34,9071.26468509937,7717.682613725285,9093.916765901195,8106.8512174269945,11785.607566491499,12495.521545480293
2019-05-05,12795.5,12657.864895001516,9071.26468509937,7717.682613725285,9093.916765901195,13691.94924139597,10173.830420494194
2019-05-12,12867.5,13109.18262445671,12657.864895001516,9071.26468509937,7717.682613725285,9976.027694004004,10141.966675820531
2019-05-19,13010.5,13003.081116366917,13109.18262445671,12657.864895001516,9071.26468509937,12549.099542846747,9291.026339224529
2019-05-26,12304.75,12279.762945210143,13003.081116366917,13109.18262445671,12657.864895001516,8106.8512174269945,11785.607566491499
2019-06-02,10864.0,10812.784784768046,12279.762945210143,13003.081116366917,13109.18262445671,9093.916765901195,13691.94924139597
2019-06-09,9826.75,9934.681463101491,10812.784784768046,12279.762945210143,13003.081116366917,7717.682613725285,9976.027694004004
2019-06-16,6435.75,6480.148163563274,9934.681463101491,10812.784784768046,12279.762945210143,9071.26468509937,12549.099542846747
2019-06-23,7461.25,7239.224738284417,6480.148163563274,9934.681463101491,10812.784784768046,12657.864895001516,8106.8512174269945
2019-06-30,6277.42,6596.114066848877,7239.224738284417,6480.148163563274,9934.681463101491,13109.18262445671,9093.916765901195
2019-07-07,6281.75,6210.714057254254,6596.114066848877,7239.224738284417,6480.148163563274,13003.081116366917,7717.682613725285
2019-07-14,4612.5,4771.431493985338,6210.714057254254,6596.114066848877,7239.224738284417,12279.762945210143,9071.26468509937
2019-07-21,5802.0,5799.952506291507,4771.431493985338,6210.714057254254,6596.114066848877,10812.784784768046,12657.864895001516
2019-07-28,5142.25,4946.5849292633275,5799.952506291507,4771.431493985338,6210.714057254254,9934.681463101491,13109.18262445671
2019-08-04,5199.0,5248.498013536247,4946.5849292633275,5799.952506291507,4771.431493985338,6480.148163563274,13003.081116366917
2019-08-11,3789.5,3840.7548625234604,5248.498013536247,4946.5849292633275,5799.952506291507,7239.224738284417,12279.762945210143
2019-08-18,5372.5,5338.845602616367,3840.7548625234604,5248.498013536247,4946.5849292633275,6596.114066848877,10812.784784768046
2019-08-25,5967.5,5798.4993949090185,5338.845602616367,3840.7548625234604,5248.498013536247,6210.714057254254,9934.681463101491
2019-09-01,5299.25,5397.046904036326,5798.4993949090185,5338.845602616367,3840.7548625234604,4771.431493985338,6480.148163563274
2019-09-08,4193.0,4042.672106744304,5397.046904036326,5798.4993949090185,5338.845602616367,5799.952506291507,7239.224738284417
2019-09-15,5986.08,6147.540974358659,4042.672106744304,5397.046904036326,5798.4993949090185,4946.5849292633275,6596.114066848877
